,state,GSDP - CONSTANT PRICES (` in Crore)2011-12,GSDP - CONSTANT PRICES (` in Crore)2012-13,GSDP - CONSTANT PRICES (` in Crore)2013-14,GSDP - CONSTANT PRICES (` in Crore)2014-15,GSDP - CONSTANT PRICES (` in Crore)2015-16,GSDP - CONSTANT PRICES (` in Crore)2016-17,(% Growth over previous year)2012-13,(% Growth over previous year)2013-14,(% Growth over previous year)2014-15,(% Growth over previous year)2015-16,(% Growth over previous year)2016-17,GSDP - CURRENT PRICES (` in Crore)2011-12,GSDP - CURRENT PRICES (` in Crore)2012-13,GSDP - CURRENT PRICES (` in Crore)2013-14,GSDP - CURRENT PRICES (` in Crore)2014-15,GSDP - CURRENT PRICES (` in Crore)2015-16,GSDP - CURRENT PRICES (` in Crore)2016-17,(% Growth over previous year)2012-13,(% Growth over previous year)2013-14,(% Growth over previous year)2014-15,(% Growth over previous year)2015-16,(% Growth over previous year)2016-17,NSDP - CONSTANT PRICES (` in Crore)2011-12,NSDP - CONSTANT PRICES (` in Crore)2012-13,NSDP - CONSTANT PRICES (` in Crore)2013-14,NSDP - CONSTANT PRICES (` in Crore)2014-15,NSDP - CONSTANT PRICES (` in Crore)2015-16,NSDP - CONSTANT PRICES (` in Crore)2016-17,(% Growth over previous year)2012-13,(% Growth over previous year)2013-14,(% Growth over previous year)2014-15,(% Growth over previous year)2015-16,(% Growth over previous year)2016-17,NSDP - CURRENT PRICES (` in Crore)2011-12,NSDP - CURRENT PRICES (` in Crore)2012-13,NSDP - CURRENT PRICES (` in Crore)2013-14,NSDP - CURRENT PRICES (` in Crore)2014-15,NSDP - CURRENT PRICES (` in Crore)2015-16,NSDP - CURRENT PRICES (` in Crore)2016-17,(% Growth over previous year)2012-13,(% Growth over previous year)2013-14,(% Growth over previous year)2014-15,(% Growth over previous year)2015-16,(% Growth over previous year)2016-17
21,Manipur,12915.0,12985.0,14116.0,15030.0,57446.75,24005.0,0.54,8.71,6.48,5.346666666666667,6.65,12915.0,13748.0,16198.0,18043.0,71600.0,29567.0,6.45,17.83,11.39,11.0575,10.55,11501.0,11507.0,12521.0,13383.0,51326.75,21275.0,0.05,8.81,6.89,5.286666666666666,6.68,11501.0,12193.0,14456.0,16189.0,64370.25,26505.0,6.01,18.56,11.99,10.24,10.73
22,Meghalaya,19918.0,20354.0,20726.0,21152.0,22507.0,24005.0,2.19,1.83,2.06,6.41,6.65,19918.0,21872.0,22938.0,24408.0,26745.0,29567.0,9.81,4.87,6.41,9.58,10.55,18028.0,18323.0,18397.0,18728.0,19942.0,21275.0,1.64,0.4,1.8,6.48,6.68,18028.0,19653.0,20415.0,21838.0,23936.0,26505.0,9.01,3.88,6.97,9.61,10.73
23,Mizoram,7259.0,7778.0,9038.0,9634.0,57446.75,24005.0,7.15,16.21,6.59,5.346666666666667,6.65,7259.0,8362.0,10293.0,11559.0,71600.0,29567.0,15.2,23.1,12.3,11.0575,10.55,6404.0,6836.0,7831.0,8348.0,51326.75,21275.0,6.75,14.56,6.6,5.286666666666666,6.68,6404.0,7375.0,8989.0,10136.0,64370.25,26505.0,15.17,21.88,12.76,10.24,10.73
24,NCT of Delhi,343767.0,366538.0,391718.0,422920.0,460217.0,498217.0,6.62,6.87,7.97,8.82,8.26,343767.0,391238.0,443783.0,492424.0,551963.0,622385.0,13.81,13.43,10.96,12.09,12.76,314619.0,334103.0,355337.0,382103.0,414964.0,448529.0,6.19,6.36,7.53,8.6,8.09,314619.0,357251.0,404664.0,447435.0,501104.0,565655.0,13.55,13.27,10.57,11.99,12.88
25,Nagaland,11839.0,12442.0,13826.0,14115.0,57446.75,24005.0,5.09,11.13,2.09,5.346666666666667,6.65,11839.0,13619.0,16612.0,18414.0,71600.0,29567.0,15.03,21.98,10.85,11.0575,10.55,10217.0,10737.0,11957.0,12124.0,51326.75,21275.0,5.09,11.36,1.4,5.286666666666666,6.68,10217.0,11816.0,14545.0,16137.0,64370.25,26505.0,15.65,23.1,10.94,10.24,10.73
26,Odisha,227872.0,238370.0,259179.0,274721.0,291227.0,314364.0,4.61,8.73,6.0,6.01,7.94,227872.0,258275.0,291709.0,321971.0,341887.0,378991.0,13.34,12.95,10.37,6.19,10.85,201111.0,211307.0,226410.0,239051.0,253296.0,273914.0,5.07,7.15,5.58,5.96,8.14,201111.0,229888.0,256211.0,282322.0,300236.0,334067.0,14.31,11.45,10.19,6.35,11.27
27,Puducherry,16818.0,17310.0,19170.0,20428.0,22007.0,23656.0,2.93,10.74,6.56,7.73,7.49,16818.0,18875.0,21870.0,24089.0,26533.0,29557.0,12.23,15.87,10.14,10.15,11.4,15160.0,15507.0,17239.0,18349.0,19927.0,21728.0,2.29,11.16,6.44,8.6,9.04,15160.0,16984.0,19778.0,21776.0,24220.0,27511.0,12.04,16.45,10.1,11.23,13.58
28,Punjab,266628.0,280823.0,298581.0,313276.0,341666.0,466412.5,5.32,6.32,4.92,8.7325,8.26,266628.0,297734.0,334714.0,368011.0,420620.66666666674,584890.5,11.67,12.42,9.95,12.33,12.79,239227.0,251813.0,268423.0,280902.0,303318.66666666674,420629.0,5.26,6.6,4.65,8.7725,8.09,239227.0,267116.0,301673.0,332999.0,375173.0,529872.5,11.66,12.94,10.38,11.365,12.88
29,Rajasthan,436465.0,454987.0,482605.0,512095.0,450917.0,280707.04166666674,4.24,6.07,6.11,6.555861111111112,7.390833333333332,436465.0,494004.0,549701.0,612194.0,519659.0,356540.25,13.18,11.27,11.37,10.92,10.203333333333337,396960.0,410225.0,435163.0,461845.0,397316.5,249080.25,3.34,6.08,6.13,6.599527777777778,7.524583333333335,396960.0,446835.0,497403.0,554783.0,463375.5,318930.45833333326,12.56,11.32,11.54,9.433277777777779,10.99125
30,Sikkim,11165.0,11421.0,12114.0,12882.0,13722.0,24005.0,2.29,6.07,6.34,6.51,6.65,11165.0,12338.0,13862.0,15209.0,16637.0,29567.0,10.51,12.35,9.72,9.39,10.55,9742.0,9970.0,10590.0,11232.0,11948.0,21275.0,2.34,6.21,6.06,6.38,6.68,9742.0,10817.0,12203.0,13318.0,14558.0,26505.0,11.03,12.82,9.14,9.31,10.73
31,Tamil Nadu,751485.0,787907.0,842182.0,900628.0,979816.0,1057592.0,4.85,6.89,6.94,8.79,7.94,751485.0,855481.0,971090.0,1092564.0,1212668.0,1338766.0,13.84,13.51,12.51,10.99,10.4,674478.0,705426.0,740623.0,790760.0,863423.0,933662.0,4.59,4.99,6.77,9.19,8.13,674478.0,768951.0,861429.0,970953.0,1080461.0,1193578.0,14.01,12.03,12.71,11.28,10.47
32,Telangana,359433.0,369290.0,389882.0,423972.0,464389.0,511286.0,2.74,5.58,8.74,9.53,10.1,359433.0,401493.0,452186.0,511178.0,575631.0,654294.0,11.7,12.63,13.05,12.61,13.67,325138.0,333674.0,349518.0,380514.0,416524.0,459504.0,2.63,4.75,8.87,9.46,10.32,325138.0,363929.0,408887.0,462636.0,522412.0,593930.0,11.93,12.35,13.15,12.92,13.69
33,Tripura,19208.0,20873.0,22819.0,25086.0,57446.75,24005.0,8.67,9.32,9.94,5.346666666666667,6.65,19208.0,21663.0,25593.0,29667.0,71600.0,29567.0,12.78,18.14,15.92,11.0575,10.55,17419.0,18857.0,20623.0,22584.0,51326.75,21275.0,8.26,9.36,9.51,5.286666666666666,6.68,17419.0,19631.0,23329.0,27484.0,64370.25,26505.0,12.7,18.84,17.81,10.24,10.73
34,Uttar Pradesh,724049.0,754928.0,803233.0,853872.0,914748.0,466412.5,4.26,6.4,6.3,7.13,8.26,724049.0,822903.0,944146.0,1043371.0,1153795.0,584890.5,13.65,14.73,10.51,10.58,12.79,645130.0,670231.0,708210.0,753114.0,807104.0,420629.0,3.89,5.67,6.34,7.17,8.09,645130.0,733505.0,837614.0,925437.0,1024222.0,529872.5,13.7,14.19,10.48,10.67,12.88
35,Uttarakhand,115524.0,123891.0,134089.0,140791.0,153041.0,466412.5,7.24,8.23,5.0,8.7,8.26,115523.0,131835.0,149817.0,161985.0,184091.0,584890.5,14.12,13.64,8.12,13.65,12.79,102156.0,109961.0,118129.0,123341.0,134109.0,420629.0,7.64,7.43,4.41,8.73,8.09,102156.0,117264.0,132556.0,142628.0,162168.0,529872.5,14.79,13.04,7.6,13.7,12.88
36,West Bengal,157478.25,165656.75,174786.75,192704.25,275633.0,314364.0,5.29,5.9,9.7475,8.43,7.94,157478.25,179947.0,200634.0,229679.75,332448.33333333326,378991.0,13.6225,12.4625,13.58,9.406666666666668,10.85,142598.75,150330.5,156939.5,173183.5,248504.66666666663,273914.0,5.525,4.9,10.4425,8.83,8.14,142598.75,163828.0,181202.0,207826.0,301897.66666666674,334067.0,14.2,11.7975,14.34,9.826666666666666,11.27
