,state_electricity,Primary_Only2013-14_electricity,Primary_with_U_Primary2013-14_electricity,Primary_with_U_Primary_Sec_HrSec2013-14_electricity,U_Primary_Only2013-14_electricity,U_Primary_With_Sec_HrSec2013-14_electricity,Primary_with_U_Primary_Sec2013-14_electricity,U_Primary_With_Sec2013-14_electricity,Sec_Only2013-14_electricity,Sec_with_HrSec.2013-14_electricity,HrSec_Only2013-14_electricity,All Schools2013-14_electricity,Primary_Only2014-15_electricity,Primary_with_U_Primary2014-15_electricity,Primary_with_U_Primary_Sec_HrSec2014-15_electricity,U_Primary_Only2014-15_electricity,U_Primary_With_Sec_HrSec2014-15_electricity,Primary_with_U_Primary_Sec2014-15_electricity,U_Primary_With_Sec2014-15_electricity,Sec_Only2014-15_electricity,Sec_with_HrSec.2014-15_electricity,HrSec_Only2014-15_electricity,All Schools2014-15_electricity,Primary_Only2015-16_electricity,Primary_with_U_Primary2015-16_electricity,Primary_with_U_Primary_Sec_HrSec2015-16_electricity,U_Primary_Only2015-16_electricity,U_Primary_With_Sec_HrSec2015-16_electricity,Primary_with_U_Primary_Sec2015-16_electricity,U_Primary_With_Sec2015-16_electricity,Sec_Only2015-16_electricity,Sec_with_HrSec.2015-16_electricity,HrSec_Only2015-16_electricity,All Schools2015-16_electricity
10,Goa,98.83,100.0,100.0,100.0,100.0,100.0,100.0,96.57600000000001,98.94,100.0,98.17,98.69,100.0,100.0,100.0,100.0,97.11,99.08,97.134,99.275,100.0,98.72,99.79,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.24,100.0,99.87
11,Gujarat,99.33,99.86,100.0,99.85,100.0,100.0,100.0,99.44,99.97,99.7,99.72,99.27,99.87,100.0,100.0,99.52,100.0,97.33,99.64,99.97,99.73,99.72,99.23,99.86,100.0,100.0,100.0,100.0,100.0,99.74,100.0,100.0,99.73
12,Haryana,98.87,99.58,100.0,96.0,99.78,99.68,99.74,74.586,82.05,92.82833333333332,98.89,98.61,99.7,100.0,95.7,99.79,99.79,99.37,77.78399999999998,75.0,100.0,98.74,98.7,99.96,100.0,96.53,99.79,100.0,99.58,78.658,91.3,100.0,98.97
13,Himachal Pradesh,94.76,97.91,99.83,88.25,99.57,99.66,98.1,100.0,100.0,100.0,94.9,93.99,97.95,99.82,85.79,99.55,99.85,97.76,100.0,100.0,100.0,94.22,96.13,99.0,99.82,89.68,99.82,99.85,99.1,100.0,100.0,100.0,96.24
14,Jammu & Kashmir,10.05,22.48,94.21,44.12,79.05,70.0,56.64,41.18,85.37,66.67,23.47,11.67,25.67,96.79,48.51,87.5,75.19,66.75,64.52,89.81,50.0,26.39,16.01,30.77,97.33,51.13,94.74,80.06,72.22,58.82,92.47,50.0,30.97
15,Jharkhand,7.99,20.3,85.59,29.27,66.43,41.92,54.66,53.39,68.25,75.42,16.35,8.48,23.77,88.15,52.63,66.75,43.57,55.01,58.01,70.43,76.95,17.98,9.3,26.06,88.27,46.62,68.06,45.73,58.49,58.91,72.58,79.31,19.45
16,Karnataka,96.37,98.37,99.03,97.11,98.51,98.49,96.73,94.25,98.1,89.53,96.78,97.05,98.7,99.22,98.59,100.0,99.44,97.63,96.6,99.17,92.04,97.64,96.81,98.81,100.0,98.07,100.0,100.0,99.87,99.99,100.0,93.06,98.12
17,Kerala,93.57,98.03,99.1,98.66,99.49,98.61,99.35,97.25,99.525,94.59,96.08,94.85,98.85,99.5,99.54,99.61,98.61,99.74,100.0,99.08,98.18,97.01,95.57,98.96,99.51,99.69,99.9,98.75,99.73,100.0,100.0,98.46,97.46
18,Lakshadweep,100.0,100.0,100.0,100.0,100.0,97.35833333333332,95.52,96.576,100.0,99.335,100.0,100.0,100.0,100.0,100.0,100.0,97.01333333333334,95.97249999999998,97.134,100.0,99.55166666666666,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0225,97.665,100.0,99.33200000000001,100.0
19,Madhya Pradesh,12.89,83.37,93.73,24.51,93.5,92.41,83.05,47.06,74.99,100.0,28.27,11.84,84.03,95.38,23.42,93.89,94.12,87.76,48.02,77.61,80.0,28.29,11.31,85.17,96.15,24.1,95.08,94.98,88.89,52.09,79.93,77.78,28.8
